"","58","50","44","39","35","27","32","25","23","20","21","15","13","11","9","6","4"
"H1_Exp2.078","mc58-6","mc50-2","mc44-4","mc39-9","mc35-3","mc27-8","mc32-7","mc25-9","mc23-3","mc20-10","mc21-12","mc15-11","mc13-5","mc11-7","mc9-1",NA,NA
"H1_Exp2.079","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp2.080","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-5",NA
"H1_Exp2.081","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-15","mc15-20","mc13-5","mc11-3","mc9-9","mc6-4",NA
"H1_Exp2.082","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-13","mc23-7",NA,NA,NA,NA,NA,NA,NA,NA
"H1_Exp2.083","mc58-6","mc50-1","mc44-4","mc39-6","mc35-3","mc27-13","mc32-9","mc25-9","mc23-2","mc20-11","mc21-10","mc15-21","mc13-5","mc11-3","mc9-3",NA,NA
"H1_Exp2.084","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-7","mc32-7","mc25-9","mc23-2","mc20-11","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-10",NA
"H1_Exp2.085","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-11","mc21-10","mc15-21","mc13-4","mc11-3",NA,NA,NA
"H1_Exp2.086","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3","mc6-6","mc4-8"
"H1_Exp2.087","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.088","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-14","mc23-1","mc20-14","mc21-13","mc15-16","mc13-6","mc11-3","mc9-3",NA,NA
"H1_Exp2.089","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-6","mc25-8","mc23-2","mc20-11","mc21-13","mc15-16","mc13-6","mc11-8","mc9-3","mc6-5","mc4-4"
"H1_Exp2.090","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.091","mc58-6","mc50-1","mc44-1","mc39-6","mc35-4","mc27-8","mc32-7","mc25-9","mc23-2","mc20-10","mc21-15","mc15-19","mc13-5","mc11-3",NA,NA,NA
"H1_Exp2.092","mc58-5","mc50-2","mc44-4","mc39-9","mc35-3","mc27-13","mc32-9","mc25-8","mc23-6","mc20-14","mc21-11","mc15-16","mc13-6","mc11-6","mc9-5","mc6-6","mc4-9"
"H1_Exp2.093","mc58-6","mc50-2","mc44-3","mc39-8","mc35-4","mc27-7","mc32-8","mc25-13","mc23-7","mc20-13","mc21-8",NA,NA,NA,NA,NA,NA
"H1_Exp2.094","mc58-5","mc50-2","mc44-3","mc39-8","mc35-1","mc27-12","mc32-10","mc25-11","mc23-4","mc20-9","mc21-15","mc15-20","mc13-5","mc11-3","mc9-1",NA,NA
"H1_Exp2.096","mc58-5","mc50-2","mc44-3","mc39-9","mc35-3","mc27-10","mc32-9","mc25-10","mc23-5","mc20-17","mc21-11","mc15-15","mc13-4","mc11-3","mc9-3",NA,NA
"H1_Exp2.097","mc58-5","mc50-2","mc44-3","mc39-9","mc35-4","mc27-8","mc32-7","mc25-13","mc23-7","mc20-13","mc21-12","mc15-15","mc13-4",NA,NA,NA,NA
"H1_Exp2.098","mc58-5","mc50-2","mc44-3","mc39-8","mc35-3","mc27-10","mc32-9","mc25-8","mc23-6","mc20-14","mc21-13","mc15-16","mc13-6","mc11-6","mc9-9","mc6-5","mc4-4"
